_id,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos
1,39,71,11,4,134,familiar,4,sim,solteiro,medio,3,0
2,52,60,1,1,219,familiar,3,sim,divorciado,alto,1,3
3,29,20,4,3,435,individual,4,nao,casado,alto,4,5
4,15,82,8,1,386,individual,4,sim,solteiro,baixo,2,10
5,43,86,3,3,239,individual,1,sim,casado,alto,8,2
6,87,15,21,5,17,individual,6,sim,divorciado,médio,8,7
7,58,11,2,5,398,familiar,2,nao,solteiro,médio,4,9
8,30,73,20,5,126,familiar,2,sim,divorciado,baixo,3,2
9,20,16,15,4,130,familiar,6,nao,divorciado,médio,4,2
10,39,74,34,3,29,individual,6,nao,casado,baixo,0,7
11,22,56,0,7,258,individual,6,sim,solteiro,médio,7,6
12,71,62,18,0,355,familiar,3,sim,divorciado,médio,1,7
13,19,41,23,5,325,individual,5,nao,divorciado,baixo,10,1
14,56,42,26,8,82,familiar,1,sim,divorciado,baixo,10,0
15,71,14,6,1,9,familiar,3,nao,casado,médio,1,1
16,87,1,34,2,272,familiar,2,nao,divorciado,médio,4,5
17,9,47,17,2,447,individual,4,nao,solteiro,médio,1,2
18,61,38,34,3,472,individual,7,nao,divorciado,médio,1,0
19,52,66,26,1,132,familiar,5,sim,casado,médio,8,6
20,54,73,30,8,112,individual,6,sim,divorciado,alto,7,8
21,60,45,26,4,93,familiar,5,nao,solteiro,baixo,1,1
22,69,11,26,1,114,individual,5,sim,solteiro,médio,3,9
23,46,30,1,3,23,individual,6,nao,solteiro,médio,2,6
24,52,15,27,6,111,individual,7,sim,casado,alto,7,4
25,82,30,34,0,332,familiar,3,nao,divorciado,baixo,8,5
26,62,38,5,2,383,familiar,5,nao,casado,médio,8,18
27,61,56,31,2,271,individual,7,nao,solteiro,alto,0,8
28,46,23,8,6,78,individual,4,nao,divorciado,alto,4,9
29,72,24,35,8,454,individual,5,nao,casado,médio,4,1
30,52,62,31,0,338,familiar,7,sim,solteiro,baixo,8,8
31,68,63,20,9,144,individual,4,sim,casado,baixo,3,0
32,45,52,23,5,459,individual,7,nao,solteiro,médio,0,0
33,24,74,37,0,178,familiar,2,nao,solteiro,baixo,5,0
34,14,11,5,1,497,individual,2,nao,divorciado,baixo,1,7
35,41,68,3,0,214,familiar,7,sim,divorciado,médio,2,1
36,81,12,35,2,273,individual,6,nao,casado,alto,10,7
37,60,39,14,6,161,familiar,4,nao,casado,alto,10,3
38,69,43,12,2,17,individual,2,sim,solteiro,alto,1,9
39,29,73,1,7,398,familiar,6,sim,solteiro,alto,3,3
40,61,40,26,9,281,individual,1,sim,divorciado,baixo,8,5
41,67,15,4,6,378,individual,2,sim,divorciado,baixo,9,1
42,50,39,24,9,16,familiar,5,nao,divorciado,médio,2,5
43,18,66,1,9,424,familiar,3,nao,solteiro,baixo,2,5
44,83,60,25,1,192,individual,3,sim,casado,alto,10,5
45,50,11,26,1,246,individual,7,sim,solteiro,baixo,3,4
46,27,59,9,8,354,individual,7,sim,solteiro,alto,7,7
47,7,24,1,9,232,individual,2,nao,solteiro,médio,2,5
48,24,64,8,1,48,individual,4,sim,divorciado,médio,5,6
49,42,56,2,7,250,individual,6,nao,solteiro,alto,0,2
50,85,20,6,7,3,familiar,1,sim,casado,baixo,4,5
51,7,59,28,6,206,individual,3,sim,solteiro,alto,6,0
52,77,42,32,6,299,familiar,7,sim,divorciado,baixo,5,1
53,85,30,29,1,288,familiar,6,nao,casado,médio,2,1
54,80,65,14,8,109,familiar,6,sim,divorciado,alto,1,8
55,49,25,32,8,291,familiar,4,sim,divorciado,alto,8,13
56,42,43,20,3,341,familiar,1,sim,solteiro,médio,5,7
57,18,45,26,6,474,familiar,7,nao,casado,baixo,8,8
58,19,38,26,5,51,familiar,3,nao,divorciado,baixo,3,1
59,19,30,24,2,79,individual,2,sim,solteiro,baixo,5,6
60,25,15,8,2,25,familiar,3,nao,divorciado,médio,5,0
61,12,43,37,2,284,familiar,7,sim,solteiro,baixo,1,9
62,38,47,17,4,222,individual,7,nao,solteiro,alto,0,3
63,77,3,16,2,302,familiar,6,nao,casado,médio,0,2
64,80,30,32,3,361,familiar,2,nao,solteiro,médio,5,1
65,23,39,26,4,100,familiar,4,sim,casado,médio,6,9
66,79,6,21,4,325,familiar,6,nao,divorciado,baixo,3,1
67,70,70,3,4,301,familiar,5,sim,casado,médio,4,5
68,49,4,29,0,243,individual,3,sim,solteiro,médio,0,3
69,76,49,9,2,481,familiar,2,nao,casado,alto,6,5
70,5,30,10,2,326,individual,3,sim,casado,baixo,1,0
71,27,7,6,3,91,familiar,7,nao,solteiro,baixo,6,5
72,62,28,30,1,158,individual,6,nao,solteiro,baixo,0,1
73,53,73,9,8,350,individual,1,nao,divorciado,alto,2,8
74,33,63,2,8,181,individual,6,sim,casado,médio,7,4
75,28,64,31,7,419,individual,2,sim,divorciado,baixo,1,10
76,16,74,29,0,362,individual,4,sim,casado,médio,6,9
77,26,44,22,3,210,individual,6,nao,casado,médio,1,3
78,57,24,32,5,188,individual,2,nao,casado,médio,5,20
79,26,11,37,6,406,familiar,3,nao,casado,alto,8,7
80,21,44,14,5,19,individual,5,sim,divorciado,alto,4,9
81,3,54,30,6,6,familiar,1,nao,solteiro,baixo,7,8
82,77,51,7,5,218,individual,7,nao,casado,baixo,9,2
83,32,15,9,9,319,individual,5,sim,divorciado,baixo,0,3
84,45,3,13,9,268,familiar,5,nao,casado,baixo,6,5
85,83,74,18,4,333,familiar,4,nao,divorciado,médio,7,3
86,19,53,35,0,221,individual,1,sim,solteiro,alto,2,0
87,70,58,11,3,345,familiar,1,nao,divorciado,médio,1,1
88,19,51,15,7,58,individual,4,sim,casado,médio,2,9
89,74,37,3,5,361,familiar,3,nao,casado,médio,5,6
90,5,30,18,6,193,individual,2,nao,divorciado,médio,4,0
91,23,18,8,1,379,individual,4,nao,casado,alto,3,2
92,25,9,10,4,490,individual,5,nao,casado,médio,1,5
93,5,42,10,6,78,familiar,3,nao,divorciado,alto,10,10
94,65,65,4,0,345,individual,2,nao,solteiro,alto,4,4
95,4,48,24,0,288,familiar,1,nao,divorciado,alto,6,9
96,41,5,33,7,198,familiar,1,sim,solteiro,alto,1,6
97,31,38,0,7,281,individual,6,sim,solteiro,alto,6,2
98,36,47,4,8,426,familiar,4,sim,solteiro,alto,2,6
99,39,60,10,8,444,familiar,4,sim,divorciado,alto,8,4
100,7,56,1,5,73,familiar,2,nao,solteiro,médio,4,6
101,14,24,29,2,134,individual,3,sim,casado,baixo,3,5
102,17,40,24,4,98,individual,7,sim,divorciado,alto,2,18
103,86,7,23,4,386,familiar,6,nao,divorciado,baixo,5,7
104,69,26,21,5,354,individual,6,nao,divorciado,médio,6,16
105,77,9,20,1,89,individual,1,sim,solteiro,alto,1,7
106,21,40,19,6,377,individual,2,nao,solteiro,baixo,7,5
107,57,23,24,7,496,individual,7,nao,divorciado,alto,6,9
108,9,17,3,5,297,individual,2,sim,solteiro,médio,10,5
109,27,52,22,7,27,individual,4,sim,casado,alto,9,0
110,37,55,14,7,21,individual,6,nao,casado,alto,0,4
111,41,52,8,2,274,familiar,4,sim,solteiro,alto,8,3
112,40,12,32,2,238,familiar,3,nao,divorciado,baixo,5,4
113,32,33,2,0,90,individual,7,sim,divorciado,baixo,7,0
114,30,67,9,0,249,familiar,3,sim,casado,médio,1,3
115,3,5,33,5,481,familiar,1,sim,solteiro,médio,5,3
116,42,38,9,6,467,individual,7,nao,divorciado,baixo,3,8
117,48,6,20,7,408,familiar,1,sim,solteiro,médio,9,17
118,13,9,29,0,466,individual,3,nao,casado,baixo,9,4
119,44,44,36,7,290,familiar,1,nao,casado,baixo,4,6
120,37,22,29,7,354,familiar,5,nao,solteiro,alto,8,6
121,51,60,10,5,184,individual,3,nao,solteiro,alto,3,1
122,29,65,31,1,72,individual,1,nao,solteiro,alto,5,4
123,70,7,20,7,400,familiar,5,nao,casado,alto,8,7
124,60,29,35,8,152,familiar,6,nao,solteiro,alto,9,20
125,31,74,25,7,4,familiar,4,nao,casado,alto,1,6
126,30,44,31,1,111,familiar,4,nao,divorciado,alto,7,4
127,21,18,31,5,123,individual,7,nao,casado,médio,2,0
128,37,11,20,0,357,individual,7,sim,divorciado,médio,1,8
129,58,52,19,1,134,individual,3,nao,divorciado,alto,5,1
130,44,20,28,7,368,individual,2,nao,casado,baixo,10,9
131,23,74,1,9,398,familiar,4,sim,casado,alto,0,0
132,74,18,22,0,369,individual,4,sim,casado,médio,1,12
133,23,44,20,7,135,individual,4,sim,casado,alto,4,3
134,59,13,7,4,67,individual,2,sim,casado,alto,7,3
135,64,15,28,6,429,individual,4,nao,casado,alto,0,6
136,17,40,5,5,89,familiar,4,sim,solteiro,médio,8,8
137,31,14,33,1,200,familiar,1,sim,casado,médio,7,6
138,48,48,2,3,91,familiar,3,nao,solteiro,baixo,10,14
139,4,48,19,7,203,individual,6,nao,solteiro,alto,6,0
140,80,30,31,4,327,familiar,5,sim,casado,médio,3,4
141,78,44,27,3,291,individual,1,sim,casado,baixo,6,8
142,74,16,34,0,116,familiar,3,sim,solteiro,médio,5,9
143,26,70,8,6,84,familiar,3,nao,divorciado,médio,4,0
144,65,51,33,0,217,familiar,5,sim,divorciado,alto,5,9
145,22,5,35,7,446,familiar,7,nao,solteiro,médio,7,1
146,47,8,3,2,194,familiar,1,sim,divorciado,alto,1,18
147,3,70,13,3,383,familiar,2,nao,divorciado,médio,4,9
148,14,18,11,9,473,individual,2,nao,solteiro,alto,4,6
149,9,1,23,1,405,individual,3,nao,divorciado,alto,6,6
150,77,22,23,3,226,familiar,3,nao,solteiro,médio,0,5
151,26,70,8,9,359,individual,2,sim,divorciado,alto,3,6
152,43,56,25,1,33,familiar,1,nao,casado,baixo,9,8
153,2,33,15,8,176,individual,4,nao,divorciado,baixo,8,9
154,83,58,0,6,288,individual,5,nao,divorciado,baixo,4,0
155,27,59,31,5,44,individual,6,sim,casado,alto,2,9
156,38,22,23,1,216,individual,3,sim,casado,baixo,6,9
157,79,55,12,5,97,familiar,1,nao,solteiro,alto,10,3
158,78,65,8,3,116,individual,6,nao,casado,alto,4,8
159,46,33,20,8,433,individual,5,nao,casado,médio,5,8
160,24,17,26,9,98,individual,2,nao,divorciado,baixo,9,3
161,9,17,18,0,70,familiar,2,nao,divorciado,baixo,0,10
162,63,33,32,7,462,individual,3,nao,casado,médio,10,8
163,3,8,2,3,181,individual,4,sim,solteiro,médio,9,2
164,3,9,12,3,322,individual,7,nao,solteiro,alto,3,5
165,34,3,37,4,250,familiar,2,sim,solteiro,alto,8,7
166,67,73,35,5,274,familiar,6,sim,casado,baixo,10,8
167,49,42,8,5,298,familiar,2,sim,casado,baixo,5,9
168,5,7,31,3,38,individual,6,sim,solteiro,baixo,3,3
169,58,60,19,5,214,familiar,1,nao,divorciado,médio,8,0
170,49,37,17,3,4,individual,5,nao,divorciado,alto,4,8
171,19,23,34,0,36,familiar,6,sim,divorciado,médio,4,3
172,15,44,14,2,89,individual,5,sim,solteiro,alto,7,8
173,84,11,26,1,449,individual,2,sim,divorciado,médio,2,6
174,61,59,30,3,452,familiar,2,nao,divorciado,médio,4,1
175,62,63,29,7,201,individual,3,nao,divorciado,médio,4,18
176,52,48,17,7,419,familiar,5,nao,divorciado,médio,7,2
177,61,5,3,1,350,individual,7,sim,divorciado,médio,9,6
178,1,48,9,8,338,familiar,2,nao,casado,médio,9,18
179,55,68,32,6,460,individual,5,nao,divorciado,baixo,2,12
180,36,69,32,1,60,individual,4,sim,divorciado,médio,9,1
181,34,24,4,8,409,familiar,1,sim,divorciado,médio,8,8
182,64,74,33,6,292,familiar,7,nao,divorciado,alto,0,3
183,52,26,4,9,435,individual,7,sim,divorciado,médio,4,3
184,19,25,6,5,260,individual,1,sim,casado,baixo,5,8
